"fingerprint"	"macvendor"	"computername"	"comment"	"suggested"
"1,28,2,121,15,6,12,40,41,42,26,119,3,121,249,252,42"	"Dell Inc"		"We have so many manufacturers dhcp fingerprint submissions.. Such a complex request cannot be a PXE boot, can it? I'm thinking that most of them are obscure linuxes/unixes."	
"1,3,6,12,15,42,66,150"	"Cisco Systems"		"Cisco does so many things.."	
"12,6,15,1,3,28,120,119"	"Nokia Corporation"			
"1,28,3,121,26,12,15,119,6,40,41,87,85,86,44,45,46,47,42"	"Hon Hai Precision Ind. Co., Ltd."			
"1,6,15,3,66,67,13,44,12"	"DIGIBOARD, INC."			
6	"Hewlett Packard"		"An HP device requesting *only* DNS Server.. What will that be?"	
"1,28,15,6,3,1"	"MATSUSHITA ELECTRIC IND. CO"			
"1,28,2,3,15,6,12,40,41,42,26,119,121,249,252,42"	"Liteon Technology Corporation"		"Very similar to Ubuntu 11.04 fingerprint but ..."	
"1,3,2,4,6,12,15,60,43"	"INTEL CORPORATION"		"I was told that it looked like a Linux without any real confirmation"	
"58,59,1,28,121,33,3,12,119,15,6,40,41,42,26,17,120,9,7,44,45,46,47"	"Universal Global Scientific Industrial Co., Ltd"	"RadioPST-Rivendell"	"Very similar to Puppy and Gentoo linux"	"Unidentified Linux"
"58,59,1,28,121,33,3,12,119,15,6,40,41,42,26,17,120,9,7,44,45,47"	"Quanta Computer Inc."		"Looks like another linux variant (which one?)"	"Unidentified Linux"
"1,3,6,15,28,12,7,9,42,48,49,26,44,45,46,47"	"CANON INC."			
43	"Symbol Technologies Wholly owned Subsidiary of Motorola"		"If you monitor INFORM packets with packetfence this could be Adobe Flash Player.  If it is it typically has ""Adobe Flash Proxy Auto-Discovery"" for a vendor code."	
54				
"54,51,58,59,1,3,6,15,28,43"	"AirDefense, Inc."		"Similar to UniData VoIP or Linux"	
"1,3,43,44,46,47,6,33,121"	"Samsung Electronics"		"Similar to TP-Link Router, Windows, Clipcomm VoIP"	
"1,3,6,15,31,33,43,44,46,47,249"	"Tenda Technology Co., Ltd."			
"1,28,3,121,26,12,15,119,6,40,41,87,85,86,44,45,46,47,42"	"Wistron Corporation"		"Similar to Linux (SuSe) or Xerox?"	
"1,3,6,15,33,43,44,46,47,121"	"Apple, Inc"		"Similar to TP-Link, VoIP.."	
"1,3,6,12,51,58,59"	"Samsung Electronics Co.,LTD"		"Similar to Android but too generic to decide to put it in"	
"3,22,23,1,24,33,35,6,15,42,44"	"askey computer corp"		"Similar to Zebra printer, quanta router"	
